_id,userID,firstName,middleName,lastName,email,password,type,__v
ObjectId(5f9f167a25ecc48b1f7ef12b),11118001,Gajendra,,Bhatia,11118001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef12c),11118002,Irfan,Bilal,Habib,11118002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef12d),11119001,Sheetal,,Desai,11119001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef12e),11118003,Vikas,,Dubey,11118003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef12f),11118004,Pramod,Ranjan,Mishra,11118004@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef130),11119003,Mohammed,Asghar,Khan,11119003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef131),11119002,Soham,,Singhal,11119002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef132),11120001,Zorawar,,Hashmi,11120001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef133),11120002,Pritam,Kumar,Banerjee,11120002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef134),11120004,Ketan,,Parikh,11120004@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef135),11120003,Payel,,Sorkar,11120003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef136),11120005,Shreya,,Upadhyay,11120005@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef137),11120006,Shantilal,,Gokhale,11120006@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef138),21195001,Dilshad,,Ahmed,21195001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
ObjectId(5f9f167a25ecc48b1f7ef139),21199002,Jhulan,,Goswami,21199002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
ObjectId(5f9f167a25ecc48b1f7ef13a),21105003,Piu,,Pradhan,21105003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
ObjectId(5f9f167a25ecc48b1f7ef13b),11216001,Meryl,,Jones,11216001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef13c),11216002,Stephen,James,Jacob,11216002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef13d),11216003,Pulkit,,Garg,11216003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef13e),11217001,Karl,Wells,Jacobs,11217001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef13f),11217002,Theodore,,Jones,11217002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef140),11217003,Seema,,Narang,11217003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef141),11217004,Gagan,Pratap,Narang,11217004@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef142),11218001,Rahul,,Tyagi,11218001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef143),11218002,Mausumi,,Ghose,11218002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef144),11218003,Prokash,,Mondal,11218003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef145),11219001,Vicky,,Singh,11219001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef146),11219002,Shweta,,Pillai,11219002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef147),11220001,Shaheb,Ranjan,Chowdhury,11220001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef148),21203001,Babasaheb,,Bhandarkar,21203001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
ObjectId(5f9f167a25ecc48b1f7ef149),21200001,Virat,Vishesh,Kulkarni,21200001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
ObjectId(5f9f167a25ecc48b1f7ef14a),11316001,Tulip,,Sinha,11316001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef14b),11316002,Sagar,,Sen,11316002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef14c),11317001,Shailesh,,Kamal,11317001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef14d),11316003,Indra,Pratap,Thakur,11316003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef14e),11317002,Vinayak,,Kumar,11317002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef14f),11318001,Mohammed,Aniqul,Haque,11318001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef150),11318002,Sameena,,Alam,11318002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef151),21301001,Binoy,Kumar,Banerjee,21301001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
ObjectId(5f9f167a25ecc48b1f7ef152),11416001,Mehroum,,Ghani,11416001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef153),21305001,Soumen,,Manna,21305001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
ObjectId(5f9f167a25ecc48b1f7ef154),11416003,Vinay,,Lohia,11416003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef155),11417001,Vinay,,Lokhande,11417001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef156),11416002,Vinay,,Solanki,11416002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef157),11417002,Mandar,,Pokshe,11417002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef158),11417003,Vinay,,Khandelwal,11417003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef159),21406001,Alka,Noor,Mehmoud,21406001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
ObjectId(5f9f167a25ecc48b1f7ef15a),11418001,Alka,,Khan,11418001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef15b),11418002,Alka,,Mirza,11418002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef15c),21415001,Alka,,Banu,21415001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
ObjectId(5f9f167a25ecc48b1f7ef15d),21410001,Alka,,Maryam,21410001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
ObjectId(5f9f167a25ecc48b1f7ef15e),12116001,Alka,,Kashouggi,12116001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef15f),12116002,Alka,,Siddiqi,12116002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
ObjectId(5f9f167a25ecc48b1f7ef160),12116003,Talat,,Siddiqi,12116003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
